[Gateway] Starting Gateway Service on port 7780...
[Gateway] Gateway running at http://localhost:7780
[Gateway] Bot/SDK: ws://localhost:7780
[Gateway] Authentication DISABLED (set LOGIN_SERVER=true to enable)
[Gateway] Bot connected: vbarter-1771162421053 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162421053 (vbarter)
[Gateway] Bot connected: vbarter-1771162485158 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162485158 (vbarter)
[Gateway] Bot connected: vbarter-1771162665834 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162665834 (vbarter)
[Gateway] Bot connected: vbarter-1771162703327 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162703327 (vbarter)
[Gateway] Bot connected: vbarter-1771162899194 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162899194 (vbarter)
[Gateway] Bot connected: vbarter-1771162906375 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162906375 (vbarter)
[Gateway] Bot connected: vbarter-1771162966675 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162966675 (vbarter)
[Gateway] Bot connected: vbarter-1771162980700 (vbarter)
[Gateway] Bot disconnected: vbarter-1771162980700 (vbarter)
[Gateway] Bot connected: vbarter-1771163641794 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163641794 (vbarter)
[Gateway] Bot connected: vbarter-1771163651987 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163651987 (vbarter)
[Gateway] Bot connected: vbarter-1771163657413 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163657413 (vbarter)
[Gateway] Bot connected: vbarter-1771163671966 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163671966 (vbarter)
[Gateway] Bot connected: vbarter-1771163678015 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163678015 (vbarter)
[Gateway] Bot connected: vbarter-1771163759359 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163759359 (vbarter)
[Gateway] Bot connected: vbarter-1771163766004 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163766004 (vbarter)
[Gateway] Bot connected: vbarter-1771163779091 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163779091 (vbarter)
[Gateway] Bot connected: vbarter-1771163788404 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163788404 (vbarter)
[Gateway] Bot connected: vbarter-1771163800936 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163800936 (vbarter)
[Gateway] Bot connected: vbarter-1771163815937 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163815937 (vbarter)
[Gateway] Bot connected: vbarter-1771163832936 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163832936 (vbarter)
[Gateway] Bot connected: vbarter-1771163852940 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163852940 (vbarter)
[Gateway] Bot connected: vbarter-1771163975430 (vbarter)
[Gateway] Bot disconnected: vbarter-1771163975430 (vbarter)
[Gateway] Bot connected: vbarter-1771164171003 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164171003 (vbarter)
[Gateway] Bot connected: vbarter-1771164188429 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164188429 (vbarter)
[Gateway] Bot connected: vbarter-1771164215895 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164215895 (vbarter)
[Gateway] Bot connected: vbarter-1771164223157 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164223157 (vbarter)
[Gateway] Bot connected: vbarter-1771164230985 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164230985 (vbarter)
[Gateway] Bot connected: vbarter-1771164240761 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164240761 (vbarter)
[Gateway] Bot connected: vbarter-1771164249766 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164249766 (vbarter)
[Gateway] Bot connected: vbarter-1771164256755 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164256755 (vbarter)
[Gateway] Bot connected: vbarter-1771164262957 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164262957 (vbarter)
[Gateway] Bot connected: vbarter-1771164274591 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164274591 (vbarter)
[Gateway] Bot connected: vbarter-1771164292169 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164292169 (vbarter)
[Gateway] Bot connected: vbarter-1771164312775 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164312775 (vbarter)
[Gateway] Bot connected: vbarter-1771164343951 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164343951 (vbarter)
[Gateway] Bot connected: vbarter-1771164391413 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164391413 (vbarter)
[Gateway] Bot connected: vbarter-1771164620727 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164620727 (vbarter)
[Gateway] Bot connected: vbarter-1771164630607 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164630607 (vbarter)
[Gateway] Bot connected: vbarter-1771164636962 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164636962 (vbarter)
[Gateway] Bot connected: vbarter-1771164655948 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164655948 (vbarter)
[Gateway] Bot connected: vbarter-1771164796831 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164796831 (vbarter)
[Gateway] Bot connected: vbarter-1771164807719 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164807719 (vbarter)
[Gateway] Bot connected: vbarter-1771164819354 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164819354 (vbarter)
[Gateway] Bot connected: vbarter-1771164870554 (vbarter)
[Gateway] Bot disconnected: vbarter-1771164870554 (vbarter)
[Gateway] Bot connected: vbarter-1771165422480 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165422480 (vbarter)
[Gateway] Bot connected: vbarter-1771165426344 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165426344 (vbarter)
[Gateway] Bot connected: vbarter-1771165435556 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165435556 (vbarter)
[Gateway] Bot connected: vbarter-1771165438875 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165438875 (vbarter)
[Gateway] Bot connected: vbarter-1771165445515 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165445515 (vbarter)
[Gateway] Bot connected: vbarter-1771165467634 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165467634 (vbarter)
[Gateway] Bot connected: vbarter-1771165497939 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165497939 (vbarter)
[Gateway] Bot connected: vbarter-1771165820943 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165820943 (vbarter)
[Gateway] Bot connected: vbarter-1771165827937 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165827937 (vbarter)
[Gateway] Bot connected: vbarter-1771165860938 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165860938 (vbarter)
[Gateway] Bot connected: vbarter-1771165899495 (vbarter)
[Gateway] Bot disconnected: vbarter-1771165899495 (vbarter)
[Gateway] Bot connected: vbarter-1771166168211 (vbarter)
[Gateway] Bot disconnected: vbarter-1771166168211 (vbarter)
[Gateway] Bot connected: vbarter-1771166435006 (vbarter)
[Gateway] Bot disconnected: vbarter-1771166435006 (vbarter)
[Gateway] Bot connected: vbarter-1771166746209 (vbarter)
[Gateway] Bot disconnected: vbarter-1771166746209 (vbarter)
[Gateway] Bot connected: vbarter-1771167062304 (vbarter)
[Gateway] Bot disconnected: vbarter-1771167062304 (vbarter)
[Gateway] Bot connected: vbarter-1771167105267 (vbarter)
[Gateway] Bot disconnected: vbarter-1771167105267 (vbarter)
[Gateway] Bot connected: vbarter-1771167819058 (vbarter)
[Gateway] Bot disconnected: vbarter-1771167819058 (vbarter)
[Gateway] Bot connected: vbarter-1771167837166 (vbarter)
[Gateway] Bot disconnected: vbarter-1771167837166 (vbarter)
[Gateway] Bot connected: vbarter-1771167869279 (vbarter)
[Gateway] Bot disconnected: vbarter-1771167869279 (vbarter)
[Gateway] Bot connected: vbarter-1771168155155 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168155155 (vbarter)
[Gateway] Bot connected: vbarter-1771168231601 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168231601 (vbarter)
[Gateway] Bot connected: vbarter-1771168522534 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168522534 (vbarter)
[Gateway] Bot connected: vbarter-1771168546819 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168546819 (vbarter)
[Gateway] Bot connected: vbarter-1771168555740 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168555740 (vbarter)
[Gateway] Bot connected: vbarter-1771168593286 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168593286 (vbarter)
[Gateway] Bot connected: vbarter-1771168601725 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168601725 (vbarter)
[Gateway] Bot connected: vbarter-1771168625379 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168625379 (vbarter)
[Gateway] Bot connected: vbarter-1771168634932 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168634932 (vbarter)
[Gateway] Bot connected: vbarter-1771168679177 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168679177 (vbarter)
[Gateway] Bot connected: vbarter-1771168708532 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168708532 (vbarter)
[Gateway] Bot connected: vbarter-1771168981610 (vbarter)
[Gateway] Bot disconnected: vbarter-1771168981610 (vbarter)
[Gateway] Bot connected: vbarter-1771169001978 (vbarter)
[Gateway] Bot disconnected: vbarter-1771169001978 (vbarter)
[Gateway] Bot connected: vbarter-1771169686339 (vbarter)
[Gateway] Bot disconnected: vbarter-1771169686339 (vbarter)
[Gateway] Bot connected: vbarter-1771169869940 (vbarter)
[Gateway] Bot disconnected: vbarter-1771169869940 (vbarter)
[Gateway] Bot connected: vbarter-1771170051033 (vbarter)
[Gateway] Bot disconnected: vbarter-1771170051033 (vbarter)
[Gateway] Bot connected: vbarter-1771170075777 (vbarter)
[Gateway] Bot disconnected: vbarter-1771170075777 (vbarter)
[Gateway] Bot connected: vbarter-1771170104947 (vbarter)
[Gateway] Bot disconnected: vbarter-1771170104947 (vbarter)
[Gateway] Bot connected: vbarter-1771170508477 (vbarter)
[Gateway] Bot disconnected: vbarter-1771170508477 (vbarter)
[Gateway] Bot connected: vbarter-1771170662254 (vbarter)
[Gateway] Bot disconnected: vbarter-1771170662254 (vbarter)
[Gateway] Bot connected: vbarter-1771171096354 (vbarter)
[Gateway] Bot disconnected: vbarter-1771171096354 (vbarter)
[Gateway] Bot connected: vbarter-1771171102755 (vbarter)
[Gateway] Bot disconnected: vbarter-1771171102755 (vbarter)
[Gateway] Bot connected: vbarter-1771171250067 (vbarter)
[Gateway] Bot disconnected: vbarter-1771171250067 (vbarter)
[Gateway] Bot connected: vbarter-1771171266521 (vbarter)
[Gateway] Bot disconnected: vbarter-1771171266521 (vbarter)
[Gateway] Bot connected: vbarter-1771171287517 (vbarter)
[Gateway] Bot disconnected: vbarter-1771171287517 (vbarter)
[Gateway] Bot connected: vbarter-1771171307640 (vbarter)
